BAUM_NR;BAUMART;PFLANZJAHR;STAMM_DM;KRONE_DM;HOEHE;STANDORT;X;Y
00005;Stiel-Eiche, Sommer-Eiche;1931;75;16;16;Hökertwiete;563711.25;5948235.29
00006;Stiel-Eiche, Sommer-Eiche;;127;2;5;Grünzug Beim Umspannwerk, entlang der Bahn;565267.90;5954498.03
00008;Stiel-Eiche, Sommer-Eiche;1861;142;22;23;Hökertwiete;563663.97;5948253.71
00010;Linde;1903;92;14;18;Alte Dorfstraße;563636.50;5948155.39
00011;Spitz-Ahorn 'Columnare';2013;7;1;4.3;Rathausallee;565665.61;5951382.75
00014;Gemeine Esche, Gewöhnliche Esche;1911;92;12;16;Alte Dorfstraße;563557.91;5948243.73
00015;Winter-Linde;1936;60;13;21;Hasloher Weg;563547.31;5948270.65
00016;Winter-Linde;1951;56;11;21;Hasloher Weg;563548.56;5948265.31
00017;Winter-Linde;1956;54;10;21;Hasloher Weg;563545.40;5948257.66
00018;Winter-Linde;1956;56;11;21;Hasloher Weg;563540.19;5948258.37
00019;Winter-Linde;1936;73;12;20;Spann;563533.27;5948259.47
00020;Gemeine Rosskastanie, Balkan-Rosskastanie;1976;45;10;15;Spann;563492.99;5948255.39
00021;Rot-Buche;1911;87;12;16;Spann;563487.91;5948255.01
00022;Kegel-Robinie;2014;7;3;7;Malenter Weg;565217.92;5950889.59
00023;Stiel-Eiche, Sommer-Eiche;;108;16;21;Grünstreifen Eiderstraße;568078.23;5950156.44
00024;Feld-Ahorn 'Elsrijk';2012;11;2;4.5;Groode Wisch;566231.30;5954366.94
00025;Feld-Ahorn 'Elsrijk';2012;13;3;5;Groode Wisch;566250.17;5954363.24
00027;Feld-Ahorn 'Elsrijk';2012;13;3;5;Groode Wisch;566273.18;5954358.52
00028;Feld-Ahorn 'Elsrijk';2012;12;2;5;Groode Wisch;566279.18;5954353.57
00030;Ungarische Eiche;1971;51;9;15;Niewisch;564517.97;5946661.67
00033;Feld-Ahorn 'Elsrijk';2012;12;2;5;Groode Wisch;566276.52;5954340.47
00034;Feld-Ahorn 'Elsrijk';2012;12;3;4.5;Groode Wisch;566270.53;5954324.18
00035;Feld-Ahorn 'Elsrijk';2012;13;4;5;Groode Wisch;566273.25;5954300.20
00036;Rote Rosskastanie, Rotblühende Rosskastanie;2012;12;4;4.2;Groode Wisch;566264.06;5954310.61
00037;Stiel-Eiche, Sommer-Eiche;1895;98;14;16;Grünstreifen Eiderstraße;568065.54;5950154.39
00038;Ungarische Eiche;1996;21;4;9;Niewisch;564508.39;5946746.22
00039;Gewöhnliche Traubenkirsche;;43;10;8;Grünstreifen Eiderstraße;568054.35;5950148.51
00040;Ungarische Eiche;1971;46;9;13;Niewisch;564515.31;5946714.50
00041;Kaiser-Linde;2008;17;3;6;Niendorfer Straße;564601.36;5946380.77
00042;Kaiser-Linde;2008;18;4;7;Niendorfer Straße;564614.82;5946373.15
00043;Kaiser-Linde;2008;17;3;6;Niendorfer Straße;564628.43;5946365.78
00047;Stiel-Eiche, Sommer-Eiche;1919;94;16;18;Grünstreifen Eiderstraße;568156.78;5950185.41
00049;Stiel-Eiche, Sommer-Eiche;1920;86;21;19;Segeberger Chaussee;569754.43;5950825.27
00050;Kaiser-Linde;2008;17;3;7;Niendorfer Straße;564740.55;5946304.43
00051;Kaiser-Linde;2008;14;3;6;Niendorfer Straße;564753.40;5946293.96
00052;Kaiser-Linde;2008;20;4;7;Niendorfer Straße;564764.54;5946283.67
00053;Stiel-Eiche, Sommer-Eiche;2015;6;2;3.5;Oadby-and-Wigston-Straße;565189.15;5953087.22
00054;Stiel-Eiche, Sommer-Eiche;2015;7;1;4;Friedrichsgaber Weg;565696.81;5953119.43
00055;Berg-Ahorn, Wald-Ahorn;1994;21;9;12;Niendorfer Straße;564774.91;5946243.90
00056;Kaiser-Linde;2008;17;5;7;Niendorfer Straße;564788.61;5946255.47
00057;Winter-Linde;2015;7;1;4;Friedrichsgaber Weg;565711.89;5953101.03
00058;Kaiser-Linde;2008;17;4;7;Niendorfer Straße;564797.47;5946241.71
00059;Winter-Linde;2015;7;1;3.5;Friedrichsgaber Weg;565717.26;5953104.86
00060;Winter-Linde;2015;7;2;4;Friedrichsgaber Weg;565722.91;5953108.78
00061;Küsten-Tanne, Riesen-Tanne;;91;9;22;Ebereschenweg;566361.78;5948882.36
00062;Stiel-Eiche, Sommer-Eiche;1929;81;19;17;RRB Poppenbütteler Straße;567738.05;5951218.60
00063;Kaiser-Linde;2008;19;5;7.5;Niendorfer Straße;564806.02;5946225.85
00064;Kaiser-Linde;2008;18;4;7;Niendorfer Straße;564812.43;5946211.53
00065;Stiel-Eiche, Sommer-Eiche;1933;70;16;16;RRB Poppenbütteler Straße;567743.18;5951211.42
00066;Kaiser-Linde;2008;17;3;6;Niendorfer Straße;564826.32;5946150.60
00068;Stadt-Linde;2015;8;2;5;Glashütter Damm;566964.88;5949466.54
00069;Wild-Apfel, Holz-Apfel;1996;20;4;4.5;Grünzüge im B202;566253.51;5953182.23
00070;Silber-Weide;1940;46;8;16;Gymnasium Harksheide;566445.48;5951488.63
00071;Amerikanische Rot-Eiche, Rot-Eiche;1970;52;12;15;Gymnasium Harksheide;566441.52;5951483.58
00072;Berg-Ahorn, Wald-Ahorn;1995;27;7;11;Gymnasium Harksheide;566441.12;5951479.47
00073;Amerikanische Rot-Eiche, Rot-Eiche;1970;57;14;16;Gymnasium Harksheide;566453.17;5951473.73
00074;Berg-Ahorn, Wald-Ahorn;1990;33;8;12;Gymnasium Harksheide;566443.52;5951477.83
00075;Stiel-Eiche, Sommer-Eiche;1951;52;11;18;Niewisch;564515.45;5946695.08
00076;Berg-Ahorn, Wald-Ahorn;1980;29;7;11;Gymnasium Harksheide;566530.32;5951487.13
00077;Rot-Buche;1970;41;10;12;Gymnasium Harksheide;566530.36;5951489.95
00079;Winter-Linde;1960;44;8;10;Grundschule Friedrichsgabe;565561.73;5954089.28
00080;Stiel-Eiche, Sommer-Eiche;;100;1;6;Grünstreifen Eiderstraße;568055.13;5950150.52
00081;Sand-Birke, Weiß-Birke, Warzen-Birke;2019;6;2;4;Bahnhofstraße;565426.37;5954183.69
00082;Stiel-Eiche, Sommer-Eiche;2017;6;3;5;Niendorfer Straße;564282.23;5946993.41
00083;Schwarz-Erle, Rot-Erle;1981;34;14;19;Niewisch;564517.43;5946684.11
00085;Stiel-Eiche, Sommer-Eiche;2020;5;1;4;Paul-Gerhard-Kinderhaus;564788.46;5951118.84
00088;Spitz-Ahorn;2020;5;2;4;Grundschule Friedrichsgabe;565621.67;5954021.79
00089;Spitz-Ahorn;2020;5;2;4;Grundschule Friedrichsgabe;565635.99;5954019.61
00091;Stadt-Linde;2019;6;2;4;Friedrichsgaber Weg;564491.69;5950132.20
00095;Ungarische Eiche;1971;47;9;14;Niewisch;564475.12;5946596.58
00096;Ungarische Eiche;1971;43;9;14;Niewisch;564447.68;5946575.98
00097;Ungarische Eiche;1981;38;8;12;Niewisch;564434.37;5946567.34
00103;Europäische-Linde;2013;8;1;4.5;Niendorfer Straße;564423.10;5946574.46
00104;Kaiser-Linde;2008;17;3;7;Niendorfer Straße;564416.72;5946587.86
